Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Sexe/Âge - Département : La Réunion 974 - Janvier 1996 à Janvier 2023 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fj=974&lo=0&ss=1
Mois;Hommes/Moins de 25 ans;Hommes/De 25 à 49 ans;Hommes/50 ans ou plus;Total Hommes;Femmes/Moins de 25 ans;Femmes/De 25 à 49 ans;Femmes/50 ans ou plus;Total Femmes;Total
Juin 2005; 10 940; 37 210; 5 010; 53 160; 11 180; 41 370; 4 620; 57 170; 110 330
Juillet 2005; 10 970; 36 660; 4 940; 52 570; 11 450; 41 170; 4 610; 57 230; 109 810
Août 2005; 11 550; 36 320; 4 960; 52 830; 11 860; 41 480; 4 700; 58 040; 110 860
Septembre 2005; 11 540; 35 850; 4 880; 52 270; 11 920; 41 510; 4 710; 58 140; 110 400
Octobre 2005; 11 120; 35 450; 4 890; 51 460; 11 690; 41 120; 4 770; 57 580; 109 020
Novembre 2005; 10 670; 35 120; 4 890; 50 680; 11 290; 40 610; 4 760; 56 660; 107 340
Décembre 2005; 10 430; 35 840; 5 010; 51 280; 10 870; 40 430; 4 820; 56 120; 107 380
Janvier 2006; 10 810; 36 550; 5 070; 52 430; 11 030; 40 540; 4 920; 56 490; 108 910
Février 2006; 10 960; 36 260; 5 040; 52 260; 10 960; 40 270; 4 910; 56 140; 108 400
Mars 2006; 10 700; 35 810; 4 970; 51 480; 10 880; 40 140; 4 890; 55 910; 107 390
Avril 2006; 10 310; 34 970; 4 880; 50 160; 10 580; 39 380; 4 840; 54 800; 104 970
Mai 2006; 10 180; 34 580; 4 910; 49 670; 10 350; 39 190; 4 840; 54 380; 104 050
Juin 2006; 10 170; 34 200; 4 830; 49 200; 10 530; 39 100; 4 860; 54 490; 103 690
Juillet 2006; 10 310; 33 430; 4 770; 48 510; 10 840; 38 560; 4 850; 54 250; 102 760
Août 2006; 10 820; 33 180; 4 710; 48 710; 11 170; 38 830; 4 860; 54 860; 103 570
Septembre 2006; 10 930; 32 830; 4 710; 48 470; 11 270; 38 770; 4 870; 54 910; 103 390
Octobre 2006; 10 760; 32 680; 4 740; 48 180; 11 070; 38 600; 4 920; 54 590; 102 770
Novembre 2006; 10 310; 32 390; 4 710; 47 410; 10 790; 38 150; 4 890; 53 830; 101 240
Décembre 2006; 9 740; 32 470; 4 800; 47 010; 10 200; 37 430; 4 900; 52 530; 99 540
Janvier 2007; 10 030; 33 110; 4 870; 48 010; 10 450; 37 670; 5 020; 53 140; 101 150
Février 2007; 9 690; 32 620; 4 820; 47 130; 10 170; 37 390; 5 060; 52 620; 99 740
Mars 2007; 9 820; 32 850; 4 820; 47 490; 10 290; 38 040; 5 150; 53 480; 100 970
Avril 2007; 9 500; 32 640; 4 840; 46 980; 10 050; 37 940; 5 180; 53 170; 100 150
Mai 2007; 9 280; 32 400; 4 830; 46 510; 9 940; 37 940; 5 150; 53 030; 99 530
Juin 2007; 9 130; 32 150; 4 800; 46 080; 9 850; 37 890; 5 140; 52 880; 98 970
