Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Niveau de formation - Région : La Réunion - Janvier 1996 à Décembre 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fi=04&lw=0&ss=1
Mois;Non renseigné;Niveau supérieur à Bac+2;Niveau Bac+2;Niveau Bac;Niveau BEP, CAP;Niveau CEP, BEPC;Niveau inférieur au CEP, BEPC;Total
Février 2006;ND;ND;ND;ND;ND;ND;ND; 108 400
Mars 2006;ND;ND;ND;ND;ND;ND;ND; 107 390
Avril 2006;ND;ND;ND;ND;ND;ND;ND; 104 970
Mai 2006;ND;ND;ND;ND;ND;ND;ND; 104 050
Juin 2006;ND;ND;ND;ND;ND;ND;ND; 103 690
Juillet 2006;ND;ND;ND;ND;ND;ND;ND; 102 760
Août 2006;ND;ND;ND;ND;ND;ND;ND; 103 570
Septembre 2006;ND;ND;ND;ND;ND;ND;ND; 103 390
Octobre 2006;ND;ND;ND;ND;ND;ND;ND; 102 770
Novembre 2006;ND;ND;ND;ND;ND;ND;ND; 101 240
Décembre 2006;ND;ND;ND;ND;ND;ND;ND; 99 540
Janvier 2007;ND;ND;ND;ND;ND;ND;ND; 101 150
Février 2007;ND;ND;ND;ND;ND;ND;ND; 99 740
Mars 2007;ND;ND;ND;ND;ND;ND;ND; 100 970
Avril 2007;ND;ND;ND;ND;ND;ND;ND; 100 150
Mai 2007;ND;ND;ND;ND;ND;ND;ND; 99 530
Juin 2007;ND;ND;ND;ND;ND;ND;ND; 98 970
Juillet 2007;ND;ND;ND;ND;ND;ND;ND; 98 480
Août 2007;ND;ND;ND;ND;ND;ND;ND; 100 470
Septembre 2007;ND;ND;ND;ND;ND;ND;ND; 100 870
Octobre 2007;ND;ND;ND;ND;ND;ND;ND; 100 060
Novembre 2007;ND;ND;ND;ND;ND;ND;ND; 98 970
Décembre 2007;ND;ND;ND;ND;ND;ND;ND; 96 250
Janvier 2008;ND;ND;ND;ND;ND;ND;ND; 99 250
Février 2008;ND;ND;ND;ND;ND;ND;ND; 99 420
Mars 2008;ND;ND;ND;ND;ND;ND;ND; 99 890
Avril 2008;ND;ND;ND;ND;ND;ND;ND; 100 220
Mai 2008;ND;ND;ND;ND;ND;ND;ND; 100 040
Juin 2008;ND;ND;ND;ND;ND;ND;ND; 100 180
Juillet 2008;ND;ND;ND;ND;ND;ND;ND; 101 350
Août 2008;ND;ND;ND;ND;ND;ND;ND; 102 770
Septembre 2008;ND;ND;ND;ND;ND;ND;ND; 103 740
Octobre 2008;ND;ND;ND;ND;ND;ND;ND; 104 820
Novembre 2008;ND;ND;ND;ND;ND;ND;ND; 104 310
Décembre 2008;ND;ND;ND;ND;ND;ND;ND; 104 410
Janvier 2009;ND;ND;ND;ND;ND;ND;ND; 107 360
Février 2009;ND;ND;ND;ND;ND;ND;ND; 110 000
Mars 2009;ND;ND;ND;ND;ND;ND;ND; 112 130
Avril 2009;ND;ND;ND;ND;ND;ND;ND; 114 200
Mai 2009;ND;ND;ND;ND;ND;ND;ND; 114 440
Juin 2009;ND;ND;ND;ND;ND;ND;ND; 115 510
Juillet 2009;ND;ND;ND;ND;ND;ND;ND; 117 140
Août 2009;ND;ND;ND;ND;ND;ND;ND; 120 050
Septembre 2009;ND;ND;ND;ND;ND;ND;ND; 121 940
Octobre 2009;ND;ND;ND;ND;ND;ND;ND; 124 350
Novembre 2009;ND;ND;ND;ND;ND;ND;ND; 125 370
Décembre 2009;ND;ND;ND;ND;ND;ND;ND; 125 990
Janvier 2010;ND;ND;ND;ND;ND;ND;ND; 130 610
Février 2010;ND;ND;ND;ND;ND;ND;ND; 132 100
Mars 2010;ND;ND;ND;ND;ND;ND;ND; 134 150
Avril 2010;ND;ND;ND;ND;ND;ND;ND; 134 560
Mai 2010;ND;ND;ND;ND;ND;ND;ND; 134 030
Juin 2010;ND;ND;ND;ND;ND;ND;ND; 135 060
Juillet 2010;ND;ND;ND;ND;ND;ND;ND; 136 460
Août 2010;ND;ND;ND;ND;ND;ND;ND; 138 930
Septembre 2010;ND;ND;ND;ND;ND;ND;ND; 141 120
Octobre 2010;ND;ND;ND;ND;ND;ND;ND; 142 090
Novembre 2010;ND;ND;ND;ND;ND;ND;ND; 142 930
Décembre 2010;ND;ND;ND;ND;ND;ND;ND; 142 540
Janvier 2011;ND;ND;ND;ND;ND;ND;ND; 145 720
Février 2011;ND;ND;ND;ND;ND;ND;ND; 146 930
Mars 2011;ND;ND;ND;ND;ND;ND;ND; 147 930
Avril 2011;ND;ND;ND;ND;ND;ND;ND; 146 710
Mai 2011;ND;ND;ND;ND;ND;ND;ND; 147 350
Juin 2011;ND;ND;ND;ND;ND;ND;ND; 146 280
Juillet 2011;ND;ND;ND;ND;ND;ND;ND; 146 970
Août 2011;ND;ND;ND;ND;ND;ND;ND; 149 040
Septembre 2011;ND;ND;ND;ND;ND;ND;ND; 150 690
Octobre 2011;ND;ND;ND;ND;ND;ND;ND; 150 500
Novembre 2011;ND;ND;ND;ND;ND;ND;ND; 150 630
Décembre 2011;ND;ND;ND;ND;ND;ND;ND; 150 520
Janvier 2012;ND;ND;ND;ND;ND;ND;ND; 153 150
Février 2012;ND;ND;ND;ND;ND;ND;ND; 152 970
Mars 2012;ND;ND;ND;ND;ND;ND;ND; 154 970
Avril 2012;ND;ND;ND;ND;ND;ND;ND; 154 120
Mai 2012;ND;ND;ND;ND;ND;ND;ND; 153 470
Juin 2012;ND;ND;ND;ND;ND;ND;ND; 153 830
Juillet 2012;ND;ND;ND;ND;ND;ND;ND; 155 140
Août 2012;ND;ND;ND;ND;ND;ND;ND; 158 060
Septembre 2012;ND;ND;ND;ND;ND;ND;ND; 157 770
Octobre 2012;ND;ND;ND;ND;ND;ND;ND; 160 130
Novembre 2012;ND;ND;ND;ND;ND;ND;ND; 161 140
Décembre 2012;ND;ND;ND;ND;ND;ND;ND; 160 330
Janvier 2013;ND;ND;ND;ND;ND;ND;ND; 164 100
Février 2013;ND;ND;ND;ND;ND;ND;ND; 164 790
Mars 2013;ND;ND;ND;ND;ND;ND;ND; 165 220
Avril 2013;ND;ND;ND;ND;ND;ND;ND; 166 650
Mai 2013;ND;ND;ND;ND;ND;ND;ND; 166 000
Juin 2013;ND;ND;ND;ND;ND;ND;ND; 163 700
Juillet 2013;ND;ND;ND;ND;ND;ND;ND; 166 190
Août 2013;ND;ND;ND;ND;ND;ND;ND; 168 740
Septembre 2013;ND;ND;ND;ND;ND;ND;ND; 169 480
Octobre 2013;ND;ND;ND;ND;ND;ND;ND; 170 930
Novembre 2013;ND;ND;ND;ND;ND;ND;ND; 169 530
Décembre 2013;ND;ND;ND;ND;ND;ND;ND; 167 710
Janvier 2014;ND;ND;ND;ND;ND;ND;ND; 170 610
Février 2014;ND;ND;ND;ND;ND;ND;ND; 170 480
Mars 2014;ND;ND;ND;ND;ND;ND;ND; 170 550
Avril 2014;ND;ND;ND;ND;ND;ND;ND; 171 370
Mai 2014;ND;ND;ND;ND;ND;ND;ND; 170 780
Juin 2014;ND;ND;ND;ND;ND;ND;ND; 170 900
Juillet 2014;ND;ND;ND;ND;ND;ND;ND; 172 710
Août 2014;ND;ND;ND;ND;ND;ND;ND; 173 380
Septembre 2014;ND;ND;ND;ND;ND;ND;ND; 174 520
Octobre 2014;ND;ND;ND;ND;ND;ND;ND; 175 730
Novembre 2014;ND;ND;ND;ND;ND;ND;ND; 173 980
Décembre 2014;ND;ND;ND;ND;ND;ND;ND; 173 260
Janvier 2015;ND;ND;ND;ND;ND;ND;ND; 175 560
Février 2015;ND;ND;ND;ND;ND;ND;ND; 175 660
Mars 2015;ND;ND;ND;ND;ND;ND;ND; 176 090
Avril 2015;ND;ND;ND;ND;ND;ND;ND; 176 470
Mai 2015;ND;ND;ND;ND;ND;ND;ND; 176 060
Juin 2015;ND;ND;ND;ND;ND;ND;ND; 177 240
Juillet 2015;ND;ND;ND;ND;ND;ND;ND; 178 060
Août 2015;ND;ND;ND;ND;ND;ND;ND; 179 130
